Name;Named;PoV;AllegianceASOIAF;CultureASOIAF;RaceASOIAF;Source;AllegianceGoT;CultureGoT;AllegianceBoth;CultureBoth
A certain man;FALSE;0;;Myrish;;AWOIAF Wiki;;;;Myrish
Abelar Hightower;TRUE;0;House Hightower;Reach;;AWOIAF Wiki;;;House Hightower;Reach
Abelon;TRUE;0;Citadel;;;AWOIAF Wiki;;;Citadel;
Addam of Duskendale;TRUE;0;;Crownlander;;AWOIAF Wiki;;;;Crownlander
Addam Frey;TRUE;0;House Frey;Rivermen;;AWOIAF Wiki;;;House Frey;Rivermen
Addam Hightower;TRUE;0;House Hightower, House Tyrell;Reach;;AWOIAF Wiki;;;House Hightower, House Tyrell;Reach
Addam Marbrand;TRUE;0;House Marbrand, House Lannister, City Watch of King's Landing;Westermen;;AWOIAF Wiki;House Marbrand, House Lannister;Andal;House Marbrand, House Lannister, City Watch of King's Landing;Westermen
Addam Osgrey;TRUE;0;House Osgrey;Reach;;AWOIAF Wiki;;;House Osgrey;Reach
Addam Rivers;TRUE;0;;;;AWOIAF Wiki;;;;
Addam Velaryon;TRUE;0;House Velaryon, House Targaryen, Blacks;Crownlander;Valyrian;AWOIAF Wiki;;;House Velaryon, House Targaryen, Blacks;Crownlander
Addam Whitehead;TRUE;0;House Whitehead;Stormlander;;AWOIAF Wiki;;;House Whitehead;Stormlander
Addison Hill;TRUE;0;House Swyft, Kingsguard;Westermen;;AWOIAF Wiki;;;House Swyft, Kingsguard;Westermen
Adham Dannett;TRUE;0;;;;AWOIAF Wiki;;;;
Adrack Humble;TRUE;0;House Humble, House Greyjoy;Ironborn;;AWOIAF Wiki;House Humble, House Greyjoy;Ironborn;House Humble, House Greyjoy;Ironborn
Adrian Redfort;TRUE;0;House Redfort, Queensguard, Blacks;Valemen;;AWOIAF Wiki;;;House Redfort, Queensguard, Blacks;Valemen
Adrian Tarbeck;TRUE;0;House Tarbeck, Greens;Westermen;;AWOIAF Wiki;;;House Tarbeck, Greens;Westermen
Adrian Thorne;TRUE;0;House Thorne, City Watch of King's Landing;Crownlander;;AWOIAF Wiki;;;House Thorne, City Watch of King's Landing;Crownlander
Aegon Ambrose;TRUE;0;House Ambrose, Faith of the Seven, Warrior's Sons;Reach;;AWOIAF Wiki;;;House Ambrose, Faith of the Seven, Warrior's Sons;Reach
Aegon Blackfyre;TRUE;0;House Blackfyre;Crownlander;Valyrian;AWOIAF Wiki;;;House Blackfyre;Crownlander
Aegon Frey (son of Stevron);TRUE;0;House Frey;Rivermen;;AWOIAF Wiki;;;House Frey;Rivermen
Aegon Frey (son of Aenys);TRUE;0;House Frey;Rivermen;;AWOIAF Wiki;;;House Frey;Rivermen
Aegon I Targaryen;TRUE;0;;Crownlander;Valyrian;AWOIAF Wiki;;;;Crownlander
Aegon II Targaryen;TRUE;0;;Crownlander;;AWOIAF Wiki;;;;Crownlander
Aegon III Targaryen;TRUE;0;;Crownlander;;AWOIAF Wiki;;;;Crownlander
Aegon IV Targaryen;TRUE;0;;Crownlander;Valyrian;AWOIAF Wiki;;;;Crownlander
Aegon V Targaryen;TRUE;0;;;;AWOIAF Wiki;;;;
Aegon Targaryen (son of Gaemon);TRUE;0;House Targaryen;Valyrian;Valyrian;AWOIAF Wiki;;;House Targaryen;Valyrian
Aegon Targaryen (son of Aenys I);TRUE;0;House Targaryen;Crownlander;Valyrian;AWOIAF Wiki;;;House Targaryen;Crownlander
Aegon Targaryen (son of Jaehaerys I);TRUE;0;House Targaryen;Crownlander;Valyrian;AWOIAF Wiki;;;House Targaryen;Crownlander
Aegon Targaryen (son of Baelon);TRUE;0;House Targaryen;Crownlander;Valyrian;AWOIAF Wiki;;;House Targaryen;Crownlander
Aegon Targaryen (son of Aerys II);TRUE;0;House Targaryen;Crownlander;Valyrian;AWOIAF Wiki;;;House Targaryen;Crownlander
