"Name","X","Y"
"Gared",-605.6089,-88.383286
"Waymar Royce",-466.13586,-396.29337
"Will",-970.20935,-314.28708
"Jeor Mormont",-781.3243,-306.6414
"Aemon Targaryen",-449.28595,-648.35095
"Other 1",-974.7232,-1338.6555
"Bran Stark",-466.24283,329.8266
"Mance Rayder",-978.79144,-200.1946
"Robb Stark",-167.00568,581.8717
"Nan",-374.5705,388.92365
"Jon Snow",-839.4476,-365.92944
"Eddard Stark",36.870663,104.67914
"Theon Greyjoy",-678.9113,596.3914
"Jory Cassel",3.3952856,56.7809
"Hullen",-230.9177,269.46298
"Harwin",322.3204,565.2116
"Rodrik Cassel",-195.55441,290.70776
"Rickon Stark",-284.83234,314.40244
"Desmond",-129.82509,233.68648
"Catelyn Stark",-40.886036,540.7711
"Aerys II Targaryen",248.83252,-643.8073
"Arya Stark",284.07452,871.3501
"Sansa Stark",297.63815,-44.7696
"Benjen Stark",-365.07614,64.266174
"Luwin",-441.59134,532.0896
"Jon Arryn",-67.94872,-56.44238
"Robert I Baratheon",241.21204,-136.07434
"Hoster Tully",111.394806,335.3466
"Pycelle",409.71567,-15.405815
"Robert Arryn",-22.868858,-73.41521
"Lysa Arryn",-91.54683,87.21018
"Brynden Tully",-5.260496,487.8858
"Cersei Lannister",586.4468,86.28392
"Tommen Baratheon",345.83307,59.935066
"Daenerys Targaryen",664.4442,-1296.8119
"Illyrio Mopatis",324.51456,-1187.5935
"Viserys Targaryen",400.52356,-864.8758
"Drogo",334.74725,-1528.232
"Rhaegar Targaryen",344.62082,-488.04593
"Tywin Lannister",464.31418,231.79117
"Elia Martell",699.98047,-492.62152
"Aegon Targaryen (son of Rhaegar)",280.2502,-742.11414
"Jaime Lannister",376.5492,323.97653
"Rhaella Targaryen",542.4446,-498.4424
"Stannis Baratheon",-344.93484,-294.72314
"Willem Darry",866.9019,-798.46075
"old woman",257.49414,-1769.1993
"girl",339.2765,-1784.0225
"Aegon I Targaryen",-1064.3505,-1611.4664
"Moro",-1937.2244,-210.93814
"Rhogoro",-2001.253,-170.128
"Jorah Mormont",383.02716,-807.74194
"Sandor Clegane",456.12216,360.04514
"Tyrion Lannister",474.89227,-121.36286
"Balon Greyjoy",-715.0754,641.25134
"Rickard Stark",-244.42682,11.398541
"Brandon Stark",-139.70578,297.30374
"Lyanna Stark",-96.99393,157.3487
"Howland Reed",-335.32132,-5.019019
"Joffrey Baratheon",354.51254,-17.608719
"Myrcella Baratheon",585.6024,-49.776108
"Daeron I Targaryen",-1455.1946,-1189.9182
"Edmure Tully",40.129913,723.1301
"Arthur Dayne",267.251,-355.10892
"Ashara Dayne",623.5353,-730.8781
"Mordane",-32.78286,211.99028
"Beth Cassel",-305.56552,454.3784
"Jeyne Poole",-412.21918,494.38495
"Vayon Poole",48.309284,224.34941
"Lew",-565.2272,-144.47813
"Donnis",-262.86334,169.5057
"Serwyn of the Mirror Shield",1967.1415,-414.99625
"Ryam Redwyne",-1922.5254,-560.9231
"Aemon Targaryen (son of Viserys II)",-372.5609,-1765.927
"Erryk Cargyll",-1903.3466,95.557205
"Arryk Cargyll",-1863.0377,174.44461
"Gerold Hightower",53.516163,-370.3695
"Boros Blount",483.94266,-16.443048
"Meryn Trant",540.62555,100.31145
"Barristan Selmy",564.10175,-725.8436
"Gage",-605.23016,506.6621
"Mikken",-371.9464,432.85284
"Hodor",-518.4161,318.00885
"Renly Baratheon",348.52643,-113.721436
"Petyr Baelish",281.26074,-17.3019
"Chayle",-485.25653,469.914
"Irri",663.36096,-1340.317
"Jhiqui",738.3736,-1311.8074
"Doreah",394.38705,-1463.8018
"Haggo",499.81354,-1492.1138
"Cohollo",429.32587,-1414.989
"Qotho",479.2492,-1438.6815
"Alyn",164.62048,316.78104
"Becca",1165.0154,-784.48755
"Wylla",-298.785,-45.275116
"Baelor Targaryen (son of Daeron II)",-459.3542,-1301.6008
"Varys",430.18753,-100.56988
"Rhaenys Targaryen (daughter of Rhaegar)",368.66986,-528.7982
"Yoren",59.357788,765.22925
"Loren I Lannister",-1197.2706,-1477.4565
"Mern IX Gardener",-1268.1941,-1546.5232
"Morrec",-33.836533,263.9088
"unnamed assassin",-453.05374,118.87474
"Hallis Mollen",-198.19945,465.91907
"Mycah",847.79675,635.863
"Ilyn Payne",390.8746,186.77864
"Daeryssa",1930.5214,-576.7909
"Naerys Targaryen",-503.003,-1874.5974
"Morgil Hastwyck",-384.51794,-1957.1426
"Raymun Darry",325.04224,340.87537
"Brynden Rivers",-890.00275,-259.7192
"Moreo Tumitis",-823.38837,386.13965
"Aron Santagar",412.0355,38.786526
"Maegor I Targaryen",-910.8931,-1785.9023
"Loras Tyrell",647.9887,84.99853
"Grenn",-915.6783,-470.34488
"Alliser Thorne",-332.1439,-314.43015
"Jeren",-809.25226,-535.0911
"Todder",-726.7435,-310.56155
"Dareon",-462.69046,-281.85645
"Pypar",-883.41077,-495.95575
"Halder",-674.0801,-422.87622
"Donal Noye",-743.2223,-658.328
"Cotter Pyke",-546.0538,-641.77704
"Bowen Marsh",-682.23914,-529.26324
"the king's steward",403.12912,-234.79643
"Mace Tyrell",574.37036,-284.20355
"High Septon 1",245.34882,-288.1594
"Jaremy Rykker",-654.55676,-233.80898
"Jyck",223.24573,349.6833
"Maege Mormont",-360.1662,323.07288
"Yohn Royce",-8.335084,-183.97746
"Denys Mallister",-725.41,-446.30872
"Jacks",10.712804,372.6506
"Porther",-46.01036,326.8152
"Tomard",51.734413,68.93808
"Syrio Forel",293.67798,-436.61984
"Jhogo",599.7528,-1359.0306
"Quaro",439.6948,-1506.7756
"Maekar I Targaryen",-29.188477,-1030.1798
"Colemon",37.06254,-134.70528
"Jaehaerys II Targaryen",468.18314,-730.70447
"Aegon V Targaryen",-10.413423,-882.5187
"Hugh of the Vale",207.48921,231.1637
"Samwell Tarly",-681.0174,-332.1698
"Rast",-1021.9719,-415.0726
"Albett",-798.43835,-466.2792
"Randyll Tarly",359.0442,-164.03842
"Qhorin Halfhand",-957.42816,-165.96423
"Dickon Tarly",-62.637585,-403.34918
"Mathis Rowan",303.85672,37.05413
"Janos Slynt",-55.85576,-342.9082
"Shireen Baratheon",-435.52072,-522.84607
"Paxter Redwyne",306.23868,-194.21355
"Margaery Tyrell",872.72205,7.4023542
"Varly",274.55356,-100.86273
"Beric Dondarrion",603.0174,596.7262
"Tobho Mott",433.55496,519.1891
"Gendry",579.088,936.29395
"Masha Heddle",388.95114,569.8364
